text,label,is_clickbait,doc_id
23 10 reasons you should never buy this gadget,clickbait,1,ID_64
Major security breach affects millions of users worldwide after report (New York),tech,0,ID_65
Stock market falls amid inflation concerns dėl rinkos reakcijos,finance,0,ID_66
36 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,tech,0,ID_67
6 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis,tech,0,ID_68
72 Apple unveils a new iPhone with advanced camera and AI features,tech,0,ID_69
98 Open-source libraries accelerate machine learning workflows (Berlin),tech,0,ID_70
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose (London),sports,0,ID_71
9 Kaip pagreitinti kompiuterį paprastais triukais,tech,0,ID_72
76 Transfer rumors suggest a record deal for the young striker po pranešimo,sports,0,ID_73
Coach explains new defensive tactics after the game dėl rinkos reakcijos (New York),sports,0,ID_74
93 Start-up raises $50 million to scale its AI platform (Madrid),tech,0,ID_75
31 Treneris aiškino naują gynybos taktiką po rungtynių (Kaunas),sports,0,ID_76
Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus — analysts say (Vilnius),tech,0,ID_77
75 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0,ID_78
Messi scores a stunning goal in the Champions League match analitikų teigimu,sports,0,ID_79
36 Analysts predict record profits for the banking sector,finance,0,ID_80
26 10 reasons you should never buy this gadget,clickbait,0,ID_81
10 reasons you should never buy this gadget — Find out why,clickbait,1,ID_82
16 You won't believe what happened next,clickbait,0,ID_83
Coach explains new defensive tactics after the game amid concerns,sports,0,ID_84
70 Stock market falls amid inflation concerns,finance,0,ID_85
91 Top 7 secrets companies don't want you to know — You won't believe it,clickbait,1,ID_86
Žvaigždė pasirašė daugiametę sutartį su klubu (Kaunas),sports,0,ID_87
„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis dėl rinkos reakcijos,tech,0,ID_88
17 Earnings beat expectations as revenue grows in cloud segment,finance,0,ID_89
Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus (New York),tech,0,ID_90
22 Earnings beat expectations as revenue grows in cloud segment analitikų teigimu,finance,0,ID_91
"67 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Find out why",clickbait,1,ID_92
85 Coach explains new defensive tactics after the game,sports,0,ID_93
45 She did X — what happens next will shock you — Read more,clickbait,1,ID_94
8 This trick will change your life forever (London),clickbait,0,ID_95
61 Šis triukas pakeis jūsų gyvenimą amžiams — Read more,clickbait,1,ID_96
19 She did X — what happens next will shock you,clickbait,0,ID_97
23 Coach explains new defensive tactics after the game (Paris),sports,0,ID_98
63 Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0,ID_99
96 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,tech,0,ID_100
67 How to speed up your computer with simple tweaks analitikų teigimu,tech,0,ID_101
7 Treneris aiškino naują gynybos taktiką po rungtynių,sports,0,ID_102
66 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose as markets react,sports,0,ID_103
95 Major security breach affects millions of users worldwide (Madrid),tech,0,ID_104
97 10 reasons you should never buy this gadget (Berlin),clickbait,0,ID_105
2 Coach explains new defensive tactics after the game analitikų teigimu,sports,0,ID_106
"36 Central bank cuts rates, markets rally on dovish guidance",finance,0,ID_107
93 Top 7 secrets companies don't want you to know,clickbait,0,ID_108
15 How to speed up your computer with simple tweaks (Berlin),tech,0,ID_109
11 Investors hedge inflation risk using index-linked bonds analitikų teigimu,finance,0,ID_110
Earnings beat expectations as revenue grows in cloud segment (London),finance,0,ID_111
Star player signs a multi-year contract with club as markets react (New York),sports,0,ID_112
"52 Central bank cuts rates, markets rally on dovish guidance (New York)",finance,0,ID_113
Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0,ID_114
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose amid concerns,sports,0,ID_115
"2 10 priežasčių, kodėl niekada nepirkti šio daikto",clickbait,1,ID_116
"Central bank cuts rates, markets rally on dovish guidance (Berlin)",finance,0,ID_117
71 Messi scores a stunning goal in the Champions League match,sports,0,ID_118
Analysts predict record profits for the banking sector analitikų teigimu,finance,0,ID_119
Local team wins national championship in overtime in a surprise move,sports,0,ID_120
97 Startuolis pritraukė 50 mln. USD DI platformos plėtrai (London),tech,0,ID_121
36 She did X — what happens next will shock you,clickbait,0,ID_122
6 You won't believe what happened next — Number 5 is shocking (New York),clickbait,1,ID_123
10 Treneris aiškino naują gynybos taktiką po rungtynių,sports,0,ID_124
3 10 reasons you should never buy this gadget,clickbait,1,ID_125
Coach explains new defensive tactics after the game (Paris),sports,0,ID_126
67 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose as markets react (Paris),sports,0,ID_127
20 Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0,ID_128
27 Messi įmušė įspūdingą įvartį Lygų taurėje in a surprise move,sports,0,ID_129
44 Open-source libraries accelerate machine learning workflows,tech,0,ID_130
"53 Central bank cuts rates, markets rally on dovish guidance",finance,0,ID_131
97 Transfer rumors suggest a record deal for the young striker as markets react (London),sports,0,ID_132
31 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą dėl rinkos reakcijos,sports,0,ID_133
How to speed up your computer with simple tweaks dėl rinkos reakcijos,tech,0,ID_134
19 How to speed up your computer with simple tweaks,tech,0,ID_135
Investors hedge inflation risk using index-linked bonds,finance,0,ID_136
49 Star player signs a multi-year contract with club (Berlin),sports,0,ID_137
31 Coach explains new defensive tactics after the game amid concerns,sports,0,ID_138
31 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0,ID_139
80 Local team wins national championship in overtime,sports,0,ID_140
70 How to speed up your computer with simple tweaks,tech,0,ID_141
8 This trick will change your life forever,clickbait,0,ID_142
90 Open-source libraries accelerate machine learning workflows,tech,0,ID_143
66 You won't believe what happened next,clickbait,0,ID_144
47 Top 7 secrets companies don't want you to know,clickbait,1,ID_145
Stock market falls amid inflation concerns after report,finance,0,ID_146
90 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis dėl rinkos reakcijos (New York),tech,0,ID_147
56 Apple unveils a new iPhone with advanced camera and AI features,tech,0,ID_148
100 Start-up raises $50 million to scale its AI platform,tech,0,ID_149
94 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0,ID_150
"Ji padarė X — kas nutiks toliau, pribloškia (Vilnius)",clickbait,1,ID_151
"10 priežasčių, kodėl niekada nepirkti šio daikto — Number 5 is shocking (Vilnius)",clickbait,1,ID_152
89 Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0,ID_153
69 Investors hedge inflation risk using index-linked bonds — analysts say,finance,0,ID_154
40 Šis triukas pakeis jūsų gyvenimą amžiams,clickbait,1,ID_155
21 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus,tech,0,ID_156
73 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0,ID_157
Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą (Madrid),sports,0,ID_158
64 Transfer rumors suggest a record deal for the young striker,sports,0,ID_159
46 This trick will change your life forever,clickbait,0,ID_160
43 Star player signs a multi-year contract with club,sports,0,ID_161
89 Major security breach affects millions of users worldwide,tech,0,ID_162
58 She did X — what happens next will shock you,clickbait,0,ID_163
Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus — analysts say (Madrid),tech,0,ID_164
"Negalėsite patikėti, kas įvyko toliau — Find out why (New York)",clickbait,1,ID_165
Start-up raises $50 million to scale its AI platform dėl rinkos reakcijos (London),tech,0,ID_166
14 Treneris aiškino naują gynybos taktiką po rungtynių (London),sports,0,ID_167
55 Local team wins national championship in overtime,sports,0,ID_168
46 Local team wins national championship in overtime,sports,0,ID_169
32 Stock market falls amid inflation concerns dėl rinkos reakcijos,finance,0,ID_170
"Ji padarė X — kas nutiks toliau, pribloškia (Kaunas)",clickbait,1,ID_171
Open-source libraries accelerate machine learning workflows — analysts say (Berlin),tech,0,ID_172
69 10 reasons you should never buy this gadget,clickbait,0,ID_173
88 Messi scores a stunning goal in the Champions League match po pranešimo,sports,0,ID_174
72 She did X — what happens next will shock you,clickbait,0,ID_175
Open-source libraries accelerate machine learning workflows after report,tech,0,ID_176
"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — You won't believe it (Kaunas)",clickbait,1,ID_177
You won't believe what happened next — Read more (Kaunas),clickbait,1,ID_178
Major security breach affects millions of users worldwide after report (Berlin),tech,0,ID_179
76 She did X — what happens next will shock you,clickbait,1,ID_180
Žvaigždė pasirašė daugiametę sutartį su klubu dėl rinkos reakcijos (Berlin),sports,0,ID_181
74 10 reasons you should never buy this gadget — Read more,clickbait,1,ID_182
9 Startuolis pritraukė 50 mln. USD DI platformos plėtrai,tech,0,ID_183
10 reasons you should never buy this gadget — Number 5 is shocking (Paris),clickbait,1,ID_184
Treneris aiškino naują gynybos taktiką po rungtynių after report (Vilnius),sports,0,ID_185
Kaip pagreitinti kompiuterį paprastais triukais (Berlin),tech,0,ID_186
88 How to speed up your computer with simple tweaks (Berlin),tech,0,ID_187
Star player signs a multi-year contract with club po pranešimo (New York),sports,0,ID_188
"Ji padarė X — kas nutiks toliau, pribloškia — Read more (Paris)",clickbait,1,ID_189
86 She did X — what happens next will shock you (Paris),clickbait,1,ID_190
88 Open-source libraries accelerate machine learning workflows after report,tech,0,ID_191
59 Local team wins national championship in overtime (New York),sports,0,ID_192
65 Major security breach affects millions of users worldwide,tech,0,ID_193
18 Stock market falls amid inflation concerns,finance,0,ID_194
Coach explains new defensive tactics after the game (Vilnius),sports,0,ID_195
100 You won't believe what happened next (Kaunas),clickbait,0,ID_196
52 Star player signs a multi-year contract with club dėl rinkos reakcijos,sports,0,ID_197
60 Kaip pagreitinti kompiuterį paprastais triukais,tech,0,ID_198
"72 Ji padarė X — kas nutiks toliau, pribloškia",clickbait,1,ID_199
58 Earnings beat expectations as revenue grows in cloud segment,finance,0,ID_200
79 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,sports,0,ID_201
34 Didelė saugumo spraga paveikė milijonus vartotojų,tech,0,ID_202
Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą in a surprise move (Kaunas),sports,0,ID_203
Treneris aiškino naują gynybos taktiką po rungtynių po pranešimo (Madrid),sports,0,ID_204
45 Earnings beat expectations as revenue grows in cloud segment (London),finance,0,ID_205
91 Apple unveils a new iPhone with advanced camera and AI features amid concerns,tech,0,ID_206
10 reasons you should never buy this gadget — You won't believe it (London),clickbait,1,ID_207
81 Startuolis pritraukė 50 mln. USD DI platformos plėtrai,tech,0,ID_208
90 Coach explains new defensive tactics after the game,sports,0,ID_209
Star player signs a multi-year contract with club po pranešimo (Kaunas),sports,0,ID_210
72 Treneris aiškino naują gynybos taktiką po rungtynių,sports,0,ID_211
Didelė saugumo spraga paveikė milijonus vartotojų (Kaunas),tech,0,ID_212
61 This trick will change your life forever,clickbait,0,ID_213
"85 10 priežasčių, kodėl niekada nepirkti šio daikto — Find out why",clickbait,1,ID_214
30 Star player signs a multi-year contract with club,sports,0,ID_215
32 Star player signs a multi-year contract with club,sports,0,ID_216
53 Stock market falls amid inflation concerns dėl rinkos reakcijos,finance,0,ID_217
Star player signs a multi-year contract with club po pranešimo (Berlin),sports,0,ID_218
66 Earnings beat expectations as revenue grows in cloud segment,finance,0,ID_219
34 Apple unveils a new iPhone with advanced camera and AI features,tech,0,ID_220
75 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis (New York),tech,0,ID_221
54 Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0,ID_222
Messi scores a stunning goal in the Champions League match — analysts say (Paris),sports,0,ID_223
16 Transfer rumors suggest a record deal for the young striker (Berlin),sports,0,ID_224
49 Treneris aiškino naują gynybos taktiką po rungtynių,sports,0,ID_225
85 Investors hedge inflation risk using index-linked bonds (Madrid),finance,0,ID_226
Apple unveils a new iPhone with advanced camera and AI features dėl rinkos reakcijos (Madrid),tech,0,ID_227
24 Open-source libraries accelerate machine learning workflows,tech,0,ID_228
28 Open-source libraries accelerate machine learning workflows,tech,0,ID_229
31 Startuolis pritraukė 50 mln. USD DI platformos plėtrai,tech,0,ID_230
62 10 reasons you should never buy this gadget,clickbait,0,ID_231
"63 10 priežasčių, kodėl niekada nepirkti šio daikto",clickbait,1,ID_232
This trick will change your life forever — You won't believe it (Paris),clickbait,1,ID_233
20 Start-up raises $50 million to scale its AI platform dėl rinkos reakcijos,tech,0,ID_234
"10 priežasčių, kodėl niekada nepirkti šio daikto",clickbait,1,ID_235
88 Start-up raises $50 million to scale its AI platform,tech,0,ID_236
67 Apple unveils a new iPhone with advanced camera and AI features,tech,0,ID_237
"Ji padarė X — kas nutiks toliau, pribloškia — You won't believe it (New York)",clickbait,1,ID_238
15 Apple unveils a new iPhone with advanced camera and AI features analitikų teigimu,tech,0,ID_239
67 Coach explains new defensive tactics after the game,sports,0,ID_240
Apple unveils a new iPhone with advanced camera and AI features amid concerns (Kaunas),tech,0,ID_241
2 10 reasons you should never buy this gadget,clickbait,0,ID_242
Didelė saugumo spraga paveikė milijonus vartotojų (London),tech,0,ID_243
Apple unveils a new iPhone with advanced camera and AI features po pranešimo (Vilnius),tech,0,ID_244
Messi įmušė įspūdingą įvartį Lygų taurėje analitikų teigimu,sports,0,ID_245
35 Messi scores a stunning goal in the Champions League match po pranešimo,sports,0,ID_246
53 Top 7 secrets companies don't want you to know (Kaunas),clickbait,1,ID_247
36 Start-up raises $50 million to scale its AI platform,tech,0,ID_248
64 This trick will change your life forever — Number 5 is shocking,clickbait,1,ID_249
65 Local team wins national championship in overtime,sports,0,ID_250
"81 Negalėsite patikėti, kas įvyko toliau",clickbait,1,ID_251
Kaip pagreitinti kompiuterį paprastais triukais,tech,0,ID_252
"32 Central bank cuts rates, markets rally on dovish guidance dėl rinkos reakcijos",finance,0,ID_253
62 Top 7 secrets companies don't want you to know — Number 5 is shocking,clickbait,1,ID_254
90 Kaip pagreitinti kompiuterį paprastais triukais,tech,0,ID_255
4 10 reasons you should never buy this gadget,clickbait,0,ID_256
36 Analysts predict record profits for the banking sector — analysts say,finance,0,ID_257
62 Kaip pagreitinti kompiuterį paprastais triukais (London),tech,0,ID_258
6 Open-source libraries accelerate machine learning workflows,tech,0,ID_259
79 This trick will change your life forever,clickbait,0,ID_260
Star player signs a multi-year contract with club after report,sports,0,ID_261
18 Start-up raises $50 million to scale its AI platform,tech,0,ID_262
Analysts predict record profits for the banking sector amid concerns,finance,0,ID_263
Messi įmušė įspūdingą įvartį Lygų taurėje in a surprise move (Vilnius),sports,0,ID_264
13 Investors hedge inflation risk using index-linked bonds,finance,0,ID_265
"89 Negalėsite patikėti, kas įvyko toliau (Madrid)",clickbait,1,ID_266
Startuolis pritraukė 50 mln. USD DI platformos plėtrai in a surprise move (Kaunas),tech,0,ID_267
46 Earnings beat expectations as revenue grows in cloud segment in a surprise move,finance,0,ID_268
46 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,sports,0,ID_269
12 Local team wins national championship in overtime,sports,0,ID_270
60 Kaip pagreitinti kompiuterį paprastais triukais (New York),tech,0,ID_271
95 Major security breach affects millions of users worldwide in a surprise move,tech,0,ID_272
Messi scores a stunning goal in the Champions League match,sports,0,ID_273
81 Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0,ID_274
92 Start-up raises $50 million to scale its AI platform,tech,0,ID_275
16 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,sports,0,ID_276
"33 Negalėsite patikėti, kas įvyko toliau — You won't believe it",clickbait,1,ID_277
Major security breach affects millions of users worldwide po pranešimo (Kaunas),tech,0,ID_278
95 Didelė saugumo spraga paveikė milijonus vartotojų,tech,0,ID_279
83 This trick will change your life forever (Madrid),clickbait,1,ID_280
„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis as markets react,tech,0,ID_281
63 How to speed up your computer with simple tweaks,tech,0,ID_282
10 reasons you should never buy this gadget — You won't believe it (Madrid),clickbait,1,ID_283
"49 10 priežasčių, kodėl niekada nepirkti šio daikto (New York)",clickbait,1,ID_284
57 You won't believe what happened next (Kaunas),clickbait,0,ID_285
Open-source libraries accelerate machine learning workflows (Paris),tech,0,ID_286
71 She did X — what happens next will shock you,clickbait,0,ID_287
"77 Central bank cuts rates, markets rally on dovish guidance",finance,0,ID_288
Major security breach affects millions of users worldwide — analysts say (Vilnius),tech,0,ID_289
30 She did X — what happens next will shock you,clickbait,0,ID_290
27 This trick will change your life forever (New York),clickbait,0,ID_291
6 You won't believe what happened next,clickbait,0,ID_292
"14 10 priežasčių, kodėl niekada nepirkti šio daikto",clickbait,1,ID_293
„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis amid concerns,tech,0,ID_294
88 Earnings beat expectations as revenue grows in cloud segment,finance,0,ID_295
38 Transfer rumors suggest a record deal for the young striker as markets react,sports,0,ID_296
"80 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — You won't believe it",clickbait,1,ID_297
Coach explains new defensive tactics after the game in a surprise move,sports,0,ID_298
7 Žvaigždė pasirašė daugiametę sutartį su klubu after report,sports,0,ID_299
Top 7 secrets companies don't want you to know (Paris),clickbait,0,ID_300
40 Local team wins national championship in overtime po pranešimo,sports,0,ID_301
29 Local team wins national championship in overtime,sports,0,ID_302
9 Messi scores a stunning goal in the Champions League match,sports,0,ID_303
32 Didelė saugumo spraga paveikė milijonus vartotojų,tech,0,ID_304
59 Messi scores a stunning goal in the Champions League match,sports,0,ID_305
71 Coach explains new defensive tactics after the game,sports,0,ID_306
Kaip pagreitinti kompiuterį paprastais triukais (Kaunas),tech,0,ID_307
Analysts predict record profits for the banking sector po pranešimo,finance,0,ID_308
57 Start-up raises $50 million to scale its AI platform (Paris),tech,0,ID_309
"60 10 priežasčių, kodėl niekada nepirkti šio daikto — Read more (Madrid)",clickbait,1,ID_310
Messi įmušė įspūdingą įvartį Lygų taurėje (Vilnius),sports,0,ID_311
Coach explains new defensive tactics after the game as markets react (Berlin),sports,0,ID_312
59 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis,tech,0,ID_313
62 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,sports,0,ID_314
97 Earnings beat expectations as revenue grows in cloud segment dėl rinkos reakcijos,finance,0,ID_315
38 How to speed up your computer with simple tweaks amid concerns (Kaunas),tech,0,ID_316
90 This trick will change your life forever — Number 5 is shocking,clickbait,1,ID_317
Major security breach affects millions of users worldwide as markets react (New York),tech,0,ID_318
"Central bank cuts rates, markets rally on dovish guidance (New York)",finance,0,ID_319
69 Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0,ID_320
99 Coach explains new defensive tactics after the game,sports,0,ID_321
Star player signs a multi-year contract with club amid concerns,sports,0,ID_322
Open-source libraries accelerate machine learning workflows — analysts say,tech,0,ID_323
73 10 reasons you should never buy this gadget,clickbait,0,ID_324
84 Treneris aiškino naują gynybos taktiką po rungtynių (Berlin),sports,0,ID_325
98 Didelė saugumo spraga paveikė milijonus vartotojų,tech,0,ID_326
47 Šis triukas pakeis jūsų gyvenimą amžiams,clickbait,1,ID_327
3 This trick will change your life forever,clickbait,0,ID_328
Kaip pagreitinti kompiuterį paprastais triukais dėl rinkos reakcijos (Berlin),tech,0,ID_329
„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis in a surprise move (Berlin),tech,0,ID_330
58 Local team wins national championship in overtime dėl rinkos reakcijos,sports,0,ID_331
12 Earnings beat expectations as revenue grows in cloud segment,finance,0,ID_332
Messi įmušė įspūdingą įvartį Lygų taurėje,sports,0,ID_333
How to speed up your computer with simple tweaks (Madrid),tech,0,ID_334
19 Apple unveils a new iPhone with advanced camera and AI features as markets react,tech,0,ID_335
40 Messi scores a stunning goal in the Champions League match (Paris),sports,0,ID_336
78 Didelė saugumo spraga paveikė milijonus vartotojų,tech,0,ID_337
"83 Negalėsite patikėti, kas įvyko toliau",clickbait,1,ID_338
70 Top 7 secrets companies don't want you to know,clickbait,0,ID_339
„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis analitikų teigimu (Vilnius),tech,0,ID_340
39 Analysts predict record profits for the banking sector,finance,0,ID_341
"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Read more (London)",clickbait,1,ID_342
20 Investors hedge inflation risk using index-linked bonds,finance,0,ID_343
75 You won't believe what happened next — You won't believe it,clickbait,1,ID_344
50 Šis triukas pakeis jūsų gyvenimą amžiams,clickbait,1,ID_345
65 10 reasons you should never buy this gadget,clickbait,0,ID_346
Coach explains new defensive tactics after the game analitikų teigimu (New York),sports,0,ID_347
36 This trick will change your life forever,clickbait,0,ID_348
82 Earnings beat expectations as revenue grows in cloud segment,finance,0,ID_349
Startuolis pritraukė 50 mln. USD DI platformos plėtrai in a surprise move,tech,0,ID_350
"Ji padarė X — kas nutiks toliau, pribloškia — Find out why (London)",clickbait,1,ID_351
39 Top 7 secrets companies don't want you to know,clickbait,0,ID_352
"93 Central bank cuts rates, markets rally on dovish guidance",finance,0,ID_353
27 Analysts predict record profits for the banking sector analitikų teigimu,finance,0,ID_354
This trick will change your life forever — Number 5 is shocking (New York),clickbait,1,ID_355
Investors hedge inflation risk using index-linked bonds analitikų teigimu,finance,0,ID_356
Earnings beat expectations as revenue grows in cloud segment po pranešimo (Vilnius),finance,0,ID_357
87 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus (London),tech,0,ID_358
41 You won't believe what happened next,clickbait,0,ID_359
55 Analysts predict record profits for the banking sector,finance,0,ID_360
52 Apple unveils a new iPhone with advanced camera and AI features,tech,0,ID_361
51 Transfer rumors suggest a record deal for the young striker,sports,0,ID_362
19 Messi scores a stunning goal in the Champions League match,sports,0,ID_363
Startuolis pritraukė 50 mln. USD DI platformos plėtrai in a surprise move (New York),tech,0,ID_364
Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose dėl rinkos reakcijos,sports,0,ID_365
This trick will change your life forever — Find out why (New York),clickbait,1,ID_366
"92 10 priežasčių, kodėl niekada nepirkti šio daikto",clickbait,1,ID_367
49 You won't believe what happened next (Kaunas),clickbait,0,ID_368
Treneris aiškino naują gynybos taktiką po rungtynių dėl rinkos reakcijos (New York),sports,0,ID_369
19 Major security breach affects millions of users worldwide,tech,0,ID_370
Didelė saugumo spraga paveikė milijonus vartotojų analitikų teigimu,tech,0,ID_371
52 Earnings beat expectations as revenue grows in cloud segment (Vilnius),finance,0,ID_372
8 Earnings beat expectations as revenue grows in cloud segment,finance,0,ID_373
4 She did X — what happens next will shock you — Read more,clickbait,1,ID_374
68 Messi scores a stunning goal in the Champions League match (Vilnius),sports,0,ID_375
28 Top 7 secrets companies don't want you to know,clickbait,0,ID_376
30 Didelė saugumo spraga paveikė milijonus vartotojų,tech,0,ID_377
59 This trick will change your life forever,clickbait,0,ID_378
36 Žvaigždė pasirašė daugiametę sutartį su klubu,sports,0,ID_379
37 You won't believe what happened next,clickbait,0,ID_380
